,year,movie,url,genre,release_type,revenue_to_date
8245,1986,Psycho III,https://www.the-numbers.com/movie/Psycho-III,Horror,Theatrical,14481606.0
8246,1986,Under the Cherry Moon,https://www.the-numbers.com/movie/Under-the-Cherry-Moon,Musical,Theatrical,10090429.0
8250,1986,Club Paradise,https://www.the-numbers.com/movie/Club-Paradise,Comedy,Theatrical,12308521.0
8252,1986,Aliens,https://www.the-numbers.com/movie/Aliens,Action,Theatrical,183291893.0
8259,1986,Haunted Honeymoon,https://www.the-numbers.com/movie/Haunted-Honeymoon,Comedy,Theatrical,8496245.0
8260,1986,Heartburn,https://www.the-numbers.com/movie/Heartburn,Comedy,Theatrical,25314289.0
8261,1986,Maximum Overdrive,https://www.the-numbers.com/movie/Maximum-Overdrive,Horror,Theatrical,9005556.0
8262,1986,Out of Bounds,https://www.the-numbers.com/movie/Out-of-Bounds,Thriller/Suspense,Theatrical,5099316.0
8264,1986,Flight of the Navigator,https://www.the-numbers.com/movie/Flight-of-the-Navigator,Adventure,Theatrical,18564613.0
8265,1986,Nothing in Common,https://www.the-numbers.com/movie/Nothing-in-Common,Comedy,Theatrical,32324000.0
8269,1986,Friday the 13th Part VI: Jason Lives,https://www.the-numbers.com/movie/Friday-the-13th-Part-VI-Jason-Lives,Horror,Theatrical,19472523.0
8270,1986,Howard the Duck,https://www.the-numbers.com/movie/Howard-the-Duck,Action,Theatrical,16852073.0
8272,1986,Castle in the Sky,https://www.the-numbers.com/movie/Castle-in-the-Sky,Adventure,Theatrical,30276952.0
8273,1986,Ying Xiong Ben Se,https://www.the-numbers.com/movie/Ying-Xiong-Ben-Se-(Hong-Kong),Thriller/Suspense,Theatrical,5005215.0
8275,1986,A Fine Mess,https://www.the-numbers.com/movie/Fine-Mess-A,Comedy,Theatrical,6029824.0
8276,1986,One Crazy Summer,https://www.the-numbers.com/movie/One-Crazy-Summer,Romantic Comedy,Theatrical,13431806.0
8277,1986,She's Gotta Have It,https://www.the-numbers.com/movie/Shes-Gotta-Have-It,Comedy,Theatrical,7137502.0
