,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
1,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2021/04/02,-,$135,-68%,1,$135,"  $8,952,085",weekend,2,
2,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2021/04/16,-,$387, ,1,$387,"  $9,102,198",weekend,4,
3,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2023/04/07,-,"$12,090", ,8,"$1,511","  $7,902,706",weekend,107,
4,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2023/04/21,-,$57, ,1,$57,"  $7,900,924",weekend,109,
0,https://www.the-numbers.com/movie/Hop/Lithuania#tab=box-office,2012/08/03,12,$70, ,2,$35,"  $115,116",weekend,71,
0,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2021/03/26,-,$422, ,1,$422,"  $8,977,902",weekend,1,
1,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2021/04/02,-,$135,-68%,1,$135,"  $8,952,085",weekend,2,
2,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2021/04/16,-,$387, ,1,$387,"  $9,102,198",weekend,4,
3,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2023/04/07,-,"$12,090", ,8,"$1,511","  $7,902,706",weekend,107,
4,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2023/04/21,-,$57, ,1,$57,"  $7,900,924",weekend,109,
0,https://www.the-numbers.com/movie/Hop/Lithuania#tab=box-office,2012/08/03,12,$70, ,2,$35,"  $115,116",weekend,71,
0,https://www.the-numbers.com/movie/Rio/Brazil#tab=box-office,2013/01/11,32,$15, ,1,$15,"  $33,552,302",weekend,93,
1,https://www.the-numbers.com/movie/Rio/Brazil#tab=box-office,2013/01/18,29,$40,+167%,2,$20,"  $33,552,362",weekend,94,
2,https://www.the-numbers.com/movie/Rio/Brazil#tab=box-office,2013/02/01,24,$58, ,3,$19,"  $34,625,880",weekend,96,
0,https://www.the-numbers.com/movie/Rio/Lithuania#tab=box-office,2012/06/15,16,$106, ,3,$35,"  $361,740",weekend,61,
1,https://www.the-numbers.com/movie/Rio/Lithuania#tab=box-office,2012/07/06,13,$79, ,3,$26,"  $366,360",weekend,64,
2,https://www.the-numbers.com/movie/Rio/Lithuania#tab=box-office,2012/07/27,11,$105, ,3,$35,"  $366,574",weekend,67,
0,https://www.the-numbers.com/movie/Rio/New-Zealand#tab=box-office,2022/12/16,-,$257, ,1,$257,  $257,weekend,611,
0,https://www.the-numbers.com/movie/Rio/Brazil#tab=box-office,2013/01/11,32,$15, ,1,$15,"  $33,552,302",weekend,93,
1,https://www.the-numbers.com/movie/Rio/Brazil#tab=box-office,2013/01/18,29,$40,+167%,2,$20,"  $33,552,362",weekend,94,
2,https://www.the-numbers.com/movie/Rio/Brazil#tab=box-office,2013/02/01,24,$58, ,3,$19,"  $34,625,880",weekend,96,
0,https://www.the-numbers.com/movie/Rio/Lithuania#tab=box-office,2012/06/15,16,$106, ,3,$35,"  $361,740",weekend,61,
1,https://www.the-numbers.com/movie/Rio/Lithuania#tab=box-office,2012/07/06,13,$79, ,3,$26,"  $366,360",weekend,64,
2,https://www.the-numbers.com/movie/Rio/Lithuania#tab=box-office,2012/07/27,11,$105, ,3,$35,"  $366,574",weekend,67,
0,https://www.the-numbers.com/movie/Rio/New-Zealand#tab=box-office,2022/12/16,-,$257, ,1,$257,  $257,weekend,611,
0,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2014/12/12,20,"$1,392", ,1,"$1,392","  $1,449,401",weekend,715,
1,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2015/05/29,51,"$1,059", ,1,"$1,059","  $1,345,873",weekend,217,
2,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2015/08/14,71,"$1,039", ,1,"$1,039","  $1,299,339",weekend,228,
3,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2018/09/28,-,"$1,559", ,1,"$1,559","  $1,284,674",weekend,391,
