,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
20,https://www.the-numbers.com/movie/American-Hot-Wax-(1978),['Tim McIntire'],"[['Floyd Mutrux', 'Director'], ['John Kaye', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$49,123,924",,,,,"March 17th, 1978 (Wide) by Paramount Pictures",,91 minutes,,Create your own comparison chart…,"Biographical Drama, Biography, 1950s, Radio Industry, Rock 'n' Roll, Censorship, Epilogue, Gratuitous Cameos",Original Screenplay,Drama,Live Action,Dramatization,,United States,,,,"$11,000,000",,,,
21,https://www.the-numbers.com/movie/F-I-S-T,['Sylvester Stallone'],"[['Norman Jewison', 'Director'], ['Joe Eszterhas', 'Screenwriter'], ['Sylvester Stallone', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$79,900,163","$11,000,000 (worldwide box office is 1.9 times production budget)",,,,"April 13th, 1978 (Wide) by United Artists",,145 minutes,,vs. Rocky 2Create your own comparison chart…,"Crime Drama, Unions, Corporate Malfeasance, 1930s, Fired, 1940s, 1950s, Mafia, Screenplay Written By the Star",Based on Real Life Events,Drama,Live Action,Dramatization,,United States,,,,"$20,388,920",,,,
22,https://www.the-numbers.com/movie/End-The,"['Sally Field', 'Burt Reynolds', 'Dom DeLuise']","[['Burt Reynolds', 'Director'], ['Paul Williams', 'Composer']]",93.9% (domestic box office/worldwide),"$118,951,369",,,,,"May 5th, 1978 (Wide) by United Artists",,,,vs. Star Wars Ep. IV: A New HopeCreate your own comparison chart…,,,,,,,United States,,,,"$30,354,004","$1,980,473","$32,334,477",,
23,https://www.the-numbers.com/movie/Buddy-Holly-Story-The,[],"[['Steve Rash', 'Director'], ['Robert Gittler', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$56,287,340",,,,,"May 18th, 1978 (Limited) by Columbia",,114 minutes,,vs. Lethal WeaponCreate your own comparison chart…,"Musicians, Biography, Biographical Drama, 1950s, Rock 'n' Roll, Posthumous Release",Based on Factual Book/Article,Drama,Live Action,Historical Fiction,,United States,,,,"$14,363,400",,,,
24,https://www.the-numbers.com/movie/Cheap-Detective-The,[],"[['Robert Moore', 'Director'], ['Neil Simon', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$110,594,712",,,,,"June 9th, 1978 (Wide) by Columbia",,92 minutes,,Create your own comparison chart…,"Crime Comedy, Death of a Partner, Falsely Accused, Ensemble, Spoof, Set in San Francisco, Police Detective, Nazis, Nazi Treasure, Treasure Hunters, Femme Fatale",Original Screenplay,Comedy,Live Action,Historical Fiction,,United States,,,,"$28,221,552",,,,
25,https://www.the-numbers.com/movie/Damien-Omen-II,"['William Holden', 'Lee Grant', 'Jonathan Scott-Taylor']","[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$94,051,280",,"$3,880,880 (16.2% of total gross)",6.18 (domestic box office/biggest weekend),"525 opening theaters/525 max. theaters, 1.0 weeks average run per theater","June 9th, 1978 (Wide) by 20th Century Fox",,107 minutes,Omen,vs. The OmenCreate your own comparison chart…,"Supernatural Horror, Supernatural, Demons, Satanism, Occult",Original Screenplay,Horror,Live Action,Contemporary Fiction,,United States,,,,"$24,000,000",,,,
26,https://www.the-numbers.com/movie/Grease,"['Stockard Channing', 'John Travolta', 'Olivia Newton-John']","[['Randal Kleiser', 'Director']]",46.9% (domestic box office/worldwide),"$655,815,649","$6,000,000 (worldwide box office is 64.6 times production budget)","$8,941,717 (4.9% of total gross)",14.31 (domestic box office/biggest weekend),"862 opening theaters/2,931 max. theaters, 4.5 weeks average run per theater","June 16th, 1978 (Wide) by Paramount PicturesMarch 27th, 1998 (Wide) by Paramount PicturesJuly 8th, 2010 (Limited) by Paramount PicturesMay 14th, 2023 (Special Engagement) by Fathom Events (45th Anniversary)
","September 24th, 2002 by Paramount Home Video",110 minutes,Grease,vs. Mamma Mia!Create your own comparison chart…,"1950s, Gangs, High School, Cross-Culture Romance",Based on Musical or Opera,Musical,Live Action,Historical Fiction,,United States,English,PG,"June 16th, 1978 (Wide), released as Pomáda (Slovakia)
September 14th, 1978 (Wide) (United Kingdom)
July 16th, 1998 (Limited) (New Zealand)
December 15th, 2017 (Limited), released as Grease Sing-A-Long (re: 2014) (Spain)
June 15th, 2018 (Wide), released as Grease (40th aniversario) (1978) (re: 2018) (Spain)
... Show all releases
","$181,813,770","$205,658,547","$387,472,317",,
27,https://www.the-numbers.com/movie/Jaws-2,"['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton']","[['Jeannot Szwarc', 'Director'], ['Carl Gottlieb', 'Screenwriter'], ['Howard Sackler', 'Screenwriter'], ['Richard D. Zanuck', 'Producer'], ['David Brown', 'Producer'], ['John Williams', 'Composer'], ['Joe Alves', 'Associate Producer'], ['Peter Benchley', 'Character Creator']]",49.3% (domestic box office/worldwide),"$403,332,556","$20,000,000 (worldwide box office is 10.4 times production budget)","$9,866,023 (9.6% of total gross)",10.43 (domestic box office/biggest weekend),"640 opening theaters/640 max. theaters, 1.0 weeks average run per theater","June 16th, 1978 (Wide) by Universal","May 22nd, 2001 by Universal Home Entertainment",116 minutes,Jaws,vs. Jaws 3-DCreate your own comparison chart…,"Animals Gone Bad, Visual Effects, Nature Horror",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,"Zancuk Company, David Brown, Universal Pictures",United States,English,PG,,"$102,922,376","$105,978,000","$208,900,376",,
28,https://www.the-numbers.com/movie/Convoy,"['Kris Kristofferson', 'Ali MacGraw']","[['Sam Peckinpah', 'Director']]",100.0% (domestic box office/worldwide),"$176,346,152",,,,,"June 28th, 1978 (Wide) by United Artists","April 28th, 2015 by Kino Lorber",110 minutes,,vs. Smokey and the BanditCreate your own comparison chart…,Road Trip,Based on Song,Action,Live Action,Contemporary Fiction,,United States,English,PG,,"$45,000,000",,,"$242,152","$242,152"
29,https://www.the-numbers.com/movie/Heaven-Can-Wait,"['Warren Beatty', 'Julie Christie']","[['Warren Beatty', 'Director']]",100.0% (domestic box office/worldwide),"$387,177,776","$15,000,000 (worldwide box office is 6.6 times production budget)","$3,652,486 (3.7% of total gross)",27.05 (domestic box office/biggest weekend),"540 opening theaters/540 max. theaters, 1.0 weeks average run per theater","June 28th, 1978 (Wide) by Paramount Pictures","July 27th, 1999 by Paramount Home Video",101 minutes,,vs. Jaws 2Create your own comparison chart…,"Football, Reincarnation, Heaven and Hell, 1979 Oscars Best Picture Nominee",Based on Play,Comedy,Live Action,Fantasy,,United States,English,PG,,"$98,800,000",,,,
